Question,Class
PROPN PROPN AUX DET NOUN PART NOUN DET VERB PROPN CCONJ PROPN ADP PROPN PUNCT DET NOUN PART,EASY
PRON AUX DET ADJ NOUN NOUN ADP PROPN,EASY
ADP WHAT NOUN AUX DET PROPN PROPN ADP PROPN NOUN,EASY
ADV AUX ADJ NOUN VERB ADV ADP DET ADJ NOUN ADP DET NOUN,EASY
PRON AUX PROPN PROPN AUX PART VERB ADP DET ADV ADJ NOUN,EASY
ADP WHAT NOUN AUX DET PROPN NOUN VERB ADP DET PROPN PROPN PROPN,EASY
PRON AUX PRON VERB WHEN VERB NOUN AUX ADJ,DIFFICULT
ADP WHAT NOUN AUX PROPN VERB ADJ ADJ NOUN,EASY
PRON AUX DET ADJ NOUN ADP PROPN PROPN,EASY
ADV AUX PROPN ADJ ADP PROPN,EASY
ADP WHAT NOUN AUX NOUN ADP PROPN VERB ADP,EASY
ADV ADJ NOUN AUX DET ADP PRON VERB,EASY
ADV AUX DET ADJ NOUN VERB ADP PROPN PROPN,EASY
ADP WHAT NOUN AUX PROPN VERB ADP PROPN,EASY
ADP HOW ADJ PROPN NOUN AUX ADP PROPN,EASY
PRON AUX DET NOUN NOUN VERB SCONJ,EASY
PRON AUX DET ADJ PROPN PROPN PROPN,EASY
DET NOUN ADP DET NOUN NOUN VERB VERB ADP DET NOUN,EASY
DET NOUN ADP DET ADJ ADJ NOUN VERB ADP DET PROPN PROPN ADV VERB ADV ADP ADV WHAT NOUN,EASY
PRON AUX PROPN VERB SCONJ DET ADJ NOUN ADP DET NOUN ADP DET NOUN,EASY
ADV AUX DET ADJ ADJ NOUN ADP PROPN,EASY
PROPN PROPN PROPN AUX DET NOUN ADP DET NOUN ADP WHICH NOUN,EASY
PROPN PROPN VERB PART VERB DET ADJ NOUN ADP PRON,EASY
ADV ADJ AUX ADJ NOUN NOUN,EASY
ADV AUX DET NOUN VERB ADP,EASY
ADV AUX DET ADJ NOUN ADP DET NOUN,EASY
ADP WHAT ADJ NOUN AUX NOUN VERB ADP PROPN,EASY
ADV AUX DET ADV ADJ NOUN NOUN VERB,EASY
PRON VERB VERB ADP NOUN VERB ADP ADJ NOUN NOUN NOUN,DIFFICULT
SCONJ DET NOUN ADP DET NOUN ADP PROPN PUNCT NOUN ADP PROPN NOUN NOUN AUX VERB WHICH DET NUM PROPN,EASY
ADV ADJ NOUN AUX ADJ PROPN VERB ADV ADP NUM,EASY
DET NOUN VERB ADJ NOUN,EASY
PRON AUX PROPN PROPN ADP ADJ NOUN,EASY
PRON AUX PUNCT PROPN PUNCT,EASY
DET NOUN ADP NOUN AUX DET NOUN ADP DET PROPN PROPN ADP PROPN AUX,DIFFICULT
DET NOUN AUX PROPN VERB ADP ADP DET NOUN ADP PROPN,EASY
ADP ADP PROPN CCONJ PROPN WHERE ADV AUX PROPN VERB ADP DET PROPN,EASY
ADP WHICH NOUN AUX NOUN NOUN VERB DET NOUN,EASY
PRON AUX PROPN VERB SCONJ PROPN VERB PART VERB,EASY
PRON AUX DET ADJ NOUN VERB ADP SCONJ,EASY
DET NOUN ADP NOUN AUX VERB ADP PROPN NUM,EASY
PRON AUX DET NOUN ADP ADJ NOUN WHERE NUM NOUN VERB PART VERB ADP DET,EASY
DET NOUN AUX PROPN VERB PART VERB DET NOUN ADP NOUN,EASY
DET NOUN AUX DET PROPN PROPN NOUN,EASY
ADP WHOM AUX DET ADJ NOUN ADP PROPN PROPN PART NOUN VERB DET,EASY
DET NOUN ADP PRON AUX PROPN VERB PART VERB NOUN,EASY
ADP WHAT NOUN AUX DET PROPN PROPN PROPN PROPN VERB,EASY
PRON AUX PROPN CCONJ PROPN NOUN NOUN VERB ADP,EASY
ADP WHAT ADJ NOUN AUX ADJ NOUN VERB DET ADJ ADJ NOUN VERB NOUN,EASY
ADV ADJ ADJ PROPN NOUN NOUN AUX PROPN AUX,EASY
PRON PROPN AUX DET NOUN ADP DET NOUN ADP ADJ NOUN VERB ADP PROPN,EASY
DET NOUN AUX DET NOUN ADP DET ADJ NOUN,EASY
PRON AUX DET ADJ PROPN PROPN NOUN ADP,EASY
ADP WHAT NOUN AUX PROPN VERB,EASY
PRON VERB DET NOUN ADP PROPN,EASY
ADV AUX DET PROPN PROPN VERB DET PROPN PROPN PROPN PROPN ADP PROPN PROPN,EASY
ADV AUX PROPN ADP PROPN ADV VERB ADP,EASY
ADV AUX DET PROPN NOUN NOUN,EASY
ADP WHAT NOUN NOUN AUX PROPN PROPN PROPN VERB ADP PROPN,EASY
PRON AUX DET NOUN ADP DET PROPN PROPN NUM NOUN,EASY
DET NOUN ADP DET PROPN NOUN AUX DET NOUN VERB ADP,EASY
DET NOUN AUX ADV ADP PROPN PROPN,EASY
ADV ADJ ADJ NOUN NOUN NOUN VERB PROPN PROPN ADV,EASY
ADP DET NOUN ADP DET NOUN NOUN HOW ADV AUX NOUN,DIFFICULT
ADP NUM WHAT AUX PROPN PROPN VERB DET NOUN ADP,EASY
ADV ADJ ADJ NOUN AUX ADV ADP DET NOUN NOUN,EASY
PRON AUX DET NOUN ADP NOUN DET VERB AUX VERB ADP PROPN,EASY
DET ADJ NOUN NOUN NOUN VERB NOUN ADP PROPN ADP WHAT NOUN,EASY
PRON VERB PROPN PROPN,EASY
PRON AUX PROPN VERB ADP,EASY
ADP WHAT NOUN AUX PROPN VERB,EASY
ADV ADJ ADJ NOUN VERB ADP PROPN,EASY
DET NOUN ADP PROPN ADV VERB ADP DET NOUN ADP DET ADJ NOUN,EASY
PRON AUX PROPN PROPN PROPN CCONJ PROPN PROPN VERB,EASY
PRON AUX VERB,DIFFICULT
PRON AUX DET ADV ADJ NOUN ADP PROPN PROPN ADJ NOUN,EASY
DET NOUN ADP DET PROPN AUX VERB ADJ CCONJ ADJ NOUN,EASY
DET NOUN ADP NOUN ADP NOUN ADP VERB NOUN ADP DET PROPN PROPN ADV AUX VERB ADP PROPN ADP NOUN,EASY
ADV ADJ ADJ NOUN ADP NOUN AUX AUX VERB,EASY
DET NOUN NOUN ADP DET PROPN PROPN ADP PROPN AUX VERB WHERE VERB ADP PROPN,EASY
DET NOUN VERB PROPN PART VERB DET NOUN VERB NOUN,EASY
ADV ADV AUX DET PROPN PROPN PROPN ADV,EASY
DET NOUN ADP PROPN PART ADJ NOUN AUX,EASY
PRON VERB DET NUM ADJ NOUN ADP ADJ NOUN PUNCT,EASY
ADP WHAT NOUN AUX PROPN PROPN PART AUX DET NOUN ADP,EASY
PRON AUX VERB DET NOUN ADP PROPN PROPN ADP PROPN NUM NUM,EASY
ADV AUX PROPN VERB SCONJ DET NOUN ADP ADJ NOUN,EASY
DET NOUN ADP PROPN VERB DET NOUN ADP DET NOUN PART VERB PROPN PART,EASY
ADP WHAT NOUN AUX DET NOUN NOUN VERB,EASY
PROPN PROPN CCONJ PROPN PROPN ADP PROPN NOUN WHAT NOUN ADP NOUN,EASY
PRON AUX PRON VERB WHEN ADJ NOUN VERB ADP DET NOUN,EASY
DET NOUN ADP NOUN NOUN ADP PROPN VERB VERB ADJ NOUN CCONJ NOUN,EASY
ADV AUX PROPN PROPN PROPN VERB DET NOUN,EASY
ADP WHAT NOUN AUX PROPN PART NOUN PUNCT PROPN PROPN,EASY
PRON AUX DET PROPN NOUN NOUN ADP PROPN VERB,EASY
DET NOUN ADP NOUN AUX PROPN NOUN VERB,EASY
PRON AUX DET NOUN VERB ADP DET NUM NOUN ADJ PUNCT NUM,EASY
PRON AUX DET PROPN PROPN VERB ADP,EASY
PRON AUX ADV DET NOUN ADP NOUN CCONJ ADJ NOUN,EASY
DET ADJ NOUN NOUN AUX ADV VERB,EASY
PRON VERB PUNCT PUNCT ADP ADJ NOUN PUNCT WHERE NOUN AUX ADV NOUN NOUN VERB PART VERB DET ADV ADJ NOUN PUNCT CCONJ PUNCT ADP NOUN,EASY
PRON AUX NOUN AUX VERB ADP PROPN CCONJ PROPN,EASY
PRON AUX NOUN ADV AUX WHEN DET NOUN VERB PART VERB NOUN ADV SCONJ PRON VERB PART AUX ADJ,DIFFICULT
DET NOUN VERB ADJ NOUN ADP VERB NOUN,EASY
PRON PROPN PROPN AUX DET NOUN ADP DET NOUN,EASY
ADP WHAT NOUN AUX DET NOUN ADP PROPN VERB,EASY
DET NOUN VERB NOUN ADP PROPN PART NOUN SCONJ PROPN,EASY
DET NOUN AUX DET PROPN ADV,EASY
ADV ADJ AUX PROPN PART NOUN PUNCT,EASY
ADP WHAT NOUN AUX PROPN VERB,EASY
ADV AUX VERB ADP DET PROPN PUNCT PROPN PUNCT CCONJ DET,EASY
DET NOUN ADP ADJ NOUN AUX NOUN ADP WHAT NOUN,EASY
PRON VERB ADJ NOUN VERB ADP DET NOUN ADP PRON ADP DET ADJ NOUN,EASY
ADP ADJ NOUN WHICH DET NOUN AUX VERB PART VERB NOUN NOUN ADP ADJ,EASY
PRON AUX DET PROPN NOUN ADJ ADP DET ADJ NOUN NOUN DET AUX DET ADJ NOUN SYM NOUN PUNCT ADV DET NOUN,EASY
PRON AUX DET SPACE NOUN NOUN ADP,EASY
NUM ADJ ADJ NOUN AUX VERB ADP PROPN ADJ NOUN WHAT PRON AUX,EASY
ADP WHAT NOUN NOUN AUX DET NOUN VERB PROPN VERB PROPN,EASY
ADV AUX DET ADJ PROPN VERB PUNCT NOUN PUNCT,DIFFICULT
ADV AUX DET PROPN NOUN PART VERB ADJ NOUN ADP NUM,EASY
ADP WHAT NOUN AUX PROPN PROPN PROPN VERB,EASY
DET NOUN AUX PROPN PROPN VERB DET NOUN,EASY
PRON NUM NOUN AUX VERB DET ADJ NOUN ADP NOUN ADP PROPN SCONJ DET ADJ NOUN,EASY
PRON AUX ADJ PART VERB NOUN ADV ADP PRON,EASY
DET NOUN AUX ADV ADJ ADP PROPN,EASY
ADV AUX DET PROPN PROPN PROPN VERB ADP DET NOUN NOUN,EASY
DET NOUN VERB NUM NOUN PART VERB ADJ NOUN,EASY
ADV ADJ NOUN AUX PROPN VERB ADP NOUN ADP NOUN,EASY
SCONJ ADP NUM HOW ADV ADJ NOUN ADP NOUN AUX AUX VERB DET,EASY
ADV ADJ NOUN ADP ADJ NOUN VERB DET NOUN,EASY
DET NOUN VERB DET NOUN ADP NOUN VERB ADP DET ADJ NOUN,EASY
PRON AUX PROPN PROPN ADP NUM,EASY
ADV AUX PROPN PROPN PROPN NOUN ADP PROPN,EASY
DET NOUN VERB DET PROPN PUNCT,EASY
PRON AUX DET ADJ PROPN,EASY
ADV AUX NOUN PUNCT VERB NOUN,EASY
PRON AUX DET PROPN PROPN VERB PART VERB SCONJ ADP,EASY
PRON AUX DET ADJ NOUN NOUN ADP VERB NOUN ADP PROPN,EASY
DET NOUN ADP NOUN VERB VERB VERB ADJ NOUN ADP DET NOUN,EASY
ADV AUX DET PROPN NOUN VERB VERB NOUN PUNCT NOUN CCONJ NOUN NOUN ADP PROPN CCONJ ADJ,EASY
PRON AUX AUX DET ADJ ADJ NOUN SCONJ DET NOUN,EASY
DET NOUN AUX VERB ADP PROPN PUNCT ADP WHICH PUNCT DET VERB DET ADJ NOUN,EASY
ADP WHAT NOUN ADP DET NOUN AUX PROPN PROPN PROPN VERB,EASY
ADP WHICH ADJ NOUN AUX DET ADJ NOUN VERB,EASY
PRON NOUN ADP NOUN VERB ADV VERB NOUN NOUN CCONJ VERB ADP NOUN NOUN,EASY
PRON NOUN AUX NOUN ADP DET ADJ NOUN NOUN PROPN PROPN,EASY
ADP WHAT NOUN ADP NOUN AUX NOUN ADV ADJ,EASY
PRON AUX DET NOUN ADP NOUN ADP ADJ NOUN,EASY
ADV AUX NOUN VERB ADJ ADP ADJ NOUN ADP PROPN,EASY
PRON AUX DET X NOUN ADP DET ADJ NOUN,EASY
DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN PUNCT,EASY
DET NOUN AUX PROPN NUM ADJ ADP,EASY
DET NOUN AUX PROPN PROPN VERB ADP,EASY
PRON AUX ADV VERB ADP DET PART AUX ADJ NOUN,EASY
PRON AUX DET NOUN ADP ADJ PROPN ADP NOUN,EASY
NOUN CCONJ NOUN NOUN ADP NOUN ADP NOUN NOUN VERB,EASY
DET NOUN AUX DET NOUN VERB ADP PRON,EASY
PRON VERB DET ADJ NOUN ADP DET ADJ NOUN,EASY
DET NOUN PART NOUN ADP PROPN AUX VERB ADP DET,EASY
PRON ADV VERB VERB DET NOUN ADP DET NOUN,DIFFICULT
ADV AUX PROPN VERB,EASY
PROPN AUX VERB ADP WHICH ADJ NOUN NOUN,EASY
DET NOUN AUX VERB ADP DET PROPN PROPN ADP DET PROPN,EASY
PRON VERB DET NOUN ADP DET PROPN PUNCT,EASY
DET NOUN AUX VERB PART AUX DET ADJ VERB NOUN ADP DET NOUN,EASY
ADV AUX ADJ NOUN VERB ADP NUM,EASY
PRON AUX DET NOUN ADP DET PROPN ADP PROPN,EASY
ADV ADJ NOUN ADP PROPN ADV VERB NOUN,EASY
ADP WHAT NOUN AUX DET PROPN PROPN PROPN PROPN PROPN VERB,EASY
ADP ADP ADJ CCONJ ADJ NOUN NOUN WHAT PRON NOUN AUX VERB ADP ADJ PROPN NOUN ADP DET ADJ,EASY
PRON AUX PROPN PROPN VERB SCONJ,EASY
DET ADJ ADJ NOUN AUX PART ADV PUNCT VERB ADP,EASY
PRON AUX NOUN ADP PROPN PART,EASY
PRON AUX DET ADJ ADJ NOUN PROPN AUX,EASY
ADV AUX PROPN PROPN ADJ NOUN VERB,EASY
PRON AUX DET VERB NOUN ADP DET PROPN PROPN PROPN,EASY
PRON AUX DET ADV ADJ NOUN ADP PROPN,EASY
ADP WHAT NOUN AUX DET NOUN ADP PROPN ADP PROPN VERB VERB ADP DET PROPN,EASY
PROPN VERB DET DET NOUN PUNCT ADJ NOUN PUNCT NOUN,EASY
ADV AUX PROPN PROPN VERB DET NOUN ADP NOUN,EASY
ADV ADJ NOUN AUX PRON VERB,EASY
ADV AUX DET ADJ PROPN PROPN,EASY
PRON AUX PART VERB ADP DET PROPN PROPN ADV,EASY
PRON SPACE AUX DET ADJ ADJ NOUN ADP PROPN PROPN PART NOUN ADP ADJ,EASY
ADV AUX PUNCT DET PROPN ADP PROPN CCONJ PROPN NOUN,EASY
PRON VERB PROPN ADP NUM NOUN ADP PRON VERB DET NOUN,EASY
ADV AUX DET PROPN PROPN PROPN VERB DET ADJ NOUN,EASY
DET ADJ PROPN NOUN NOUN AUX VERB ADP NOUN,EASY
DET NOUN AUX VERB PART VERB SCONJ PRON AUX VERB CCONJ ADJ,EASY
DET NOUN ADV VERB PROPN,EASY
PRON AUX DET NOUN PROPN VERB ADP,EASY
DET ADJ NOUN ADP NOUN VERB DET NOUN ADP NOUN,EASY
ADP WHAT NOUN AUX DET PROPN PROPN PROPN ADP NUM VERB,EASY
PRON AUX DET NOUN NOUN NOUN NOUN NOUN,EASY
DET NOUN AUX DET PROPN VERB,DIFFICULT
DET NOUN AUX DET PROPN NOUN VERB,EASY
DET NOUN ADP DET NOUN NOUN AUX ADV ADJ CCONJ WHAT ADJ NOUN,EASY
ADJ ADJ NOUN VERB WHAT NOUN,EASY
DET NOUN VERB ADJ,EASY
PRON AUX DET NOUN ADP DET PROPN PART PUNCT ADP PUNCT PROPN PROPN,DIFFICULT
PRON AUX PROPN PART NOUN ADP PROPN,DIFFICULT
ADV AUX DET PROPN PROPN NOUN VERB ADP ADJ VERB NOUN ADP DET NOUN,DIFFICULT
ADV SCONJ PROPN AUX VERB SCONJ PROPN ADP DET PROPN NOUN ADP DET PROPN PROPN PUNCT ADP ADJ ADJ NOUN PRON AUX VERB ADP,EASY
PRON AUX NUM NOUN AUX VERB NUM ADP DET ADJ NOUN ADP ADJ NOUN ADP PROPN PUNCT VERB ADP,EASY
ADP NUM HOW ADV ADJ NOUN NOUN AUX ADV VERB ADP ADP NOUN ADP NOUN CCONJ,EASY
ADP DET ADJ NOUN WHAT PRON AUX PRON VERB AUX PART AUX VERB SPACE PART ADV VERB,DIFFICULT
PRON ADV VERB PROPN ADP NUM,EASY
ADP PROPN PART ADJ PROPN WHAT PUNCT PRON AUX DET ADJ ADJ NOUN,EASY
PRON VERB PART VERB DET NOUN ADP DET,EASY
ADV ADJ AUX PROPN,EASY
ADV ADJ AUX NUM PROPN PROPN ADJ ADP ADJ PROPN ADP PROPN NUM,EASY
SCONJ PROPN WHICH DET ADJ NOUN VERB DET NOUN NOUN SCONJ ADP ADJ,EASY
PRON VERB ADP DET ADJ NOUN DET ADJ NOUN DET VERB PRON ADJ PART VERB NOUN VERB DET NOUN,DIFFICULT
DET NOUN ADP NOUN AUX VERB SCONJ DET NOUN ADP DET PROPN,EASY
ADV AUX PROPN PROPN VERB ADV,EASY
ADV AUX DET NUM PUNCT NOUN,EASY
PRON AUX AUX DET PROPN NOUN SCONJ NUM,EASY
ADV ADP ADJ NOUN WHAT PRON AUX ADJ NOUN ADP,EASY
ADV DET NOUN ADP DET NOUN NOUN ADP PROPN ADP PRON VERB DET NOUN WHAT PRON AUX VERB DET,EASY
ADV ADJ NOUN AUX VERB PUNCT,EASY
ADP WHAT NOUN AUX DET PROPN PART PROPN PROPN PROPN,EASY
DET NOUN AUX PROPN PROPN VERB ADP ADP NUM,EASY
ADP WHAT NOUN AUX PROPN PROPN VERB DET PROPN ADP PROPN,EASY
PRON VERB ADV AUX VERB SCONJ DET ADJ NOUN,EASY
ADV AUX NOUN ADJ ADP DET ADJ NOUN,DIFFICULT
ADV AUX DET NOUN VERB ADP,EASY
DET NOUN AUX PROPN VERB ADP DET ADJ NOUN,EASY
PROPN NOUN AUX NOUN VERB ADP NOUN PUNCT ADV DET PROPN VERB DET PROPN VERB AUX,DIFFICULT
DET NOUN NOUN AUX ADV ADJ PART VERB NOUN ADP ADJ NOUN ADJ NOUN ADP DET,EASY
ADV ADJ NOUN AUX ADJ ADP PROPN PART PROPN,EASY
PRON AUX DET NOUN DET VERB PART AUX PROPN PROPN CCONJ PROPN VERB ADP DET PROPN,EASY
DET NOUN VERB DET NOUN NOUN ADP DET PROPN CCONJ PROPN,EASY
DET NOUN AUX DET ADJ CCONJ ADV ADP NOUN NOUN,EASY
PRON AUX VERB ADJ SCONJ DET NOUN ADP ADJ NOUN,EASY
ADV AUX DET PROPN PROPN CCONJ PROPN PROPN PROPN,EASY
DET NOUN VERB SCONJ ADJ NOUN NOUN VERB VERB ADJ NOUN,EASY
PRON AUX PROPN PART ADJ NOUN NOUN NOUN ADP,EASY
ADV AUX PROPN PROPN VERB DET NOUN ADP DET ADJ NOUN,EASY
ADV AUX DET NOUN ADP NOUN ADV VERB,DIFFICULT
ADV ADJ ADJ NOUN VERB ADP PROPN,EASY
PRON ADV VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN,EASY
DET NOUN VERB PROPN,EASY
PRON AUX DET ADJ NOUN PART VERB ADJ NOUN ADP PROPN,EASY
PRON AUX PROPN VERB VERB ADP ADP NUM,EASY
ADV ADJ NOUN VERB DET PROPN ADP PROPN VERB ADP NOUN ADP NUM,EASY
DET NOUN AUX PROPN PART ADJ ADJ NOUN ADP ADP,EASY
DET NOUN ADP ADJ NOUN VERB ADJ PUNCT NOUN,EASY
ADV AUX DET ADJ CCONJ ADJ NOUN VERB DET NOUN NOUN ADP ADJ NOUN,EASY
DET NUM NOUN NOUN VERB VERB PRON AUX NOUN CCONJ NOUN PART,EASY
DET NOUN AUX DET PROPN VERB,EASY
PRON AUX DET NOUN ADP DET NOUN VERB DET AUX ADJ ADP DET NOUN CCONJ ADJ NOUN NOUN,EASY
PROPN PUNCT PROPN PUNCT PROPN PROPN CCONJ PROPN PROPN AUX WHAT ADP DET NOUN,EASY
ADV ADJ NOUN VERB PROPN ADP PROPN,EASY
PRON AUX PROPN NOUN ADV ADP,EASY
DET ADJ NOUN AUX DET PROPN VERB ADP PROPN,EASY
ADV DET NOUN VERB ADV ADJ ADP DET NOUN PUNCT VERB DET NOUN PART VERB PUNCT DET NOUN AUX,EASY
ADV AUX DET PROPN NOUN NOUN ADP,EASY
ADP WHAT NOUN VERB PRON VERB ADJ PROPN PROPN,EASY
PUNCT PROPN PROPN PUNCT VERB DET DET PUNCT NOUN NOUN ADJ NOUN,EASY
DET NOUN AUX DET NOUN NOUN VERB ADP PROPN,EASY
PRON ADJ NOUN VERB ADJ NOUN NOUN,EASY
DET ADJ NOUN ADP VERB NOUN AUX VERB PRON,EASY
PRON ADV VERB DET PROPN NOUN,EASY
DET NOUN ADP DET NOUN AUX ADJ ADP DET ADJ NOUN DET NOUN ADP PROPN VERB ADP,EASY
PRON AUX PROPN PART NOUN PART VERB DET PROPN,EASY
